time;direction;DLC;;id
0.939137;Rx;8;81 B0 CF F0 43 FC 08 3F;515
0.941101;Rx;8;25 03 00 00 00 00 00 28;258
0.941351;Rx;8;00 00 00 00 00 00 00 00;259
0.941599;Rx;8;B2 20 00 00 00 00 00 D2;260
0.941847;Rx;8;10 27 00 00 00 00 00 37;261
0.942137;Rx;8;00 07 E7 03 F8 12 C2 0F;417333248x
0.942424;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.947913;Rx;8;03 00 00 00 00 00 00 00;792
0.952911;Rx;8;00 02 00 00 02 00 00 00;18
0.959372;Rx;8;25 03 00 00 00 00 00 28;258
0.959622;Rx;8;00 00 00 00 00 00 00 00;259
0.959870;Rx;8;B2 20 00 00 00 00 00 D2;260
0.960118;Rx;8;10 27 00 00 00 00 00 37;261
0.960399;Rx;8;00 07 E7 03 0F 13 D1 0F;417333248x
0.960685;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.973884;Rx;8;00 02 00 00 02 00 00 00;18
0.979431;Rx;8;25 03 00 00 00 00 00 28;258
0.979681;Rx;8;00 00 00 00 00 00 00 00;259
0.979929;Rx;8;B2 20 00 00 00 00 00 D2;260
0.980177;Rx;8;10 27 00 00 00 00 00 37;261
0.980457;Rx;8;00 07 E7 03 23 13 C5 0F;417333248x
0.980743;Rx;8;07 20 00 01 01 00 50 01;417333504x
0.994657;Rx;8;02 00 00 00 20 00 CB 02;785
0.999452;Rx;8;25 03 00 00 00 00 00 28;258
0.999702;Rx;8;00 00 00 00 00 00 00 00;259
0.999950;Rx;8;B2 20 00 00 00 00 00 D2;260
1.000.198;Rx;8;10 27 00 00 00 00 00 37;261
1.000.482;Rx;8;00 07 E7 03 39 13 C5 0F;417333248x
1.000.768;Rx;8;07 20 00 01 01 00 50 01;417333504x
1.003.890;Rx;8;00 00 3C 37 00 00 00 00;274
1.007.876;Rx;8;00 02 00 00 02 00 00 00;18
1.010.265;27 R;1;03 XR 0 E 0 O 0 B 10.91;
1.010.265;sta;rr;or active;
1.010.265;R 0;X;R 0 E 0 O 0 B 0.00%;
1.010.265;sta;rr;or active;
1.013.898;Rx;8;01 00 00 00 00 00 00 00;275
1.019.503;Rx;8;25 03 00 00 00 00 00 28;258
1.019.753;Rx;8;00 00 00 00 00 00 00 00;259
1.020.001;Rx;8;B2 20 00 00 00 00 00 D2;260
1.020.249;Rx;8;10 27 00 00 00 00 00 37;261
1.020.533;Rx;8;00 07 E7 03 53 13 C2 0F;417333248x
1.020.819;Rx;8;07 20 00 01 01 00 50 01;417333504x
1.028.887;Rx;8;00 02 00 00 02 00 00 00;18
1.038.876;Rx;8;E1 FF 39 38 39 3B 40 FF;516
1.039.116;Rx;8;C6 0F 12 B0 0F 05 00 00;517
1.039.362;Rx;8;38 01 37 02 00 00 00 00;518
1.044.454;Rx;8;25 03 00 00 00 00 00 28;258
1.044.705;Rx;8;00 00 00 00 00 00 00 00;259
1.044.953;Rx;8;B2 20 00 00 00 00 00 D2;260
1.045.201;Rx;8;10 27 00 00 00 00 00 37;261
1.045.485;Rx;8;00 07 E7 03 67 13 C5 0F;417333248x
1.045.771;Rx;8;07 20 00 01 01 00 50 01;417333504x
1.049.895;Rx;8;00 02 00 00 02 00 00 00;18
1.059.604;Rx;8;25 03 00 00 00 00 00 28;258
1.059.854;Rx;8;00 00 00 00 00 00 00 00;259
1.060.102;Rx;8;B2 20 00 00 00 00 00 D2;260
